Latitude (decimal degrees):	-23.553
Longitude (decimal degrees):	-46.553
Elevation (m):	780
Radiation database:	PVGIS-SARAH3


Slope: 25 deg. (optimum)
Azimuth: -169 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230401:0303,0.0,0.0,0.0,19.85,0.69,0.0
20230401:0403,0.0,0.0,0.0,19.73,0.69,0.0
20230401:0503,0.0,0.0,0.0,19.29,0.69,0.0
20230401:0603,0.0,0.0,0.0,18.78,0.76,0.0
20230401:0703,0.0,0.0,0.0,17.82,1.1,0.0
20230401:0803,0.0,0.0,0.0,17.88,1.1,0.0
20230401:0903,0.0,0.0,0.0,17.92,1.31,0.0
20230401:1003,1241.3,178.71,10.2,18.1,1.38,0.0
20230401:1103,3600.2,468.7,23.59,19.04,1.38,0.0
20230401:1203,5429.3,728.59,36.43,20.52,1.45,0.0
20230401:1303,6485.7,906.8,48.15,23.17,1.79,0.0
20230401:1403,7204.4,1036.67,57.47,25.11,2.21,0.0
20230401:1503,7370.2,1067.6,61.84,26.4,2.55,0.0
20230401:1603,7211.1,1031.67,59.08,26.73,2.9,0.0
20230401:1703,6407.1,887.86,50.68,26.3,3.1,0.0
20230401:1803,5090.1,680.42,39.37,25.48,3.38,0.0
20230401:1903,2219.0,295.44,26.73,24.08,3.72,0.0
20230401:2003,50.8,16.35,13.44,22.19,3.1,0.0
20230401:2103,0.0,0.0,0.0,21.14,2.83,0.0
20230401:2203,0.0,0.0,0.0,20.42,2.83,0.0
20230401:2303,0.0,0.0,0.0,19.8,2.9,0.0
20230402:0003,0.0,0.0,0.0,19.53,3.17,0.0
20230402:0103,0.0,0.0,0.0,19.14,3.1,0.0
20230402:0203,0.0,0.0,0.0,18.86,3.38,0.0
20230402:0303,0.0,0.0,0.0,18.18,3.45,0.0
20230402:0403,0.0,0.0,0.0,17.8,3.17,0.0
20230402:0503,0.0,0.0,0.0,17.32,3.24,0.0
20230402:0603,0.0,0.0,0.0,17.2,2.97,0.0
20230402:0703,0.0,0.0,0.0,17.24,2.34,0.0
20230402:0803,0.0,0.0,0.0,17.03,2.07,0.0
20230402:0903,0.0,0.0,0.0,16.84,2.28,0.0
20230402:1003,594.1,90.65,10.1,17.01,2.62,0.0
20230402:1103,1235.5,166.6,23.47,17.87,2.97,0.0
20230402:1203,3190.7,407.1,36.28,18.8,3.24,0.0
20230402:1303,3431.9,440.83,47.94,19.47,3.31,0.0
20230402:1403,1888.5,248.16,57.17,20.01,3.38,0.0
20230402:1503,3448.7,446.42,61.46,20.35,3.31,0.0
20230402:1603,5993.9,798.27,58.7,20.59,3.38,0.0
20230402:1703,3093.4,399.24,50.34,20.26,3.45,0.0
20230402:1803,2074.8,270.73,39.08,20.06,3.52,0.0
20230402:1903,514.7,79.84,26.47,20.57,3.72,0.0
20230402:2003,51.6,16.35,13.2,19.93,3.79,0.0
20230402:2103,0.0,0.0,0.0,18.94,3.45,0.0
20230402:2203,0.0,0.0,0.0,18.08,3.1,0.0
20230402:2303,0.0,0.0,0.0,17.41,2.76,0.0
20230403:0003,0.0,0.0,0.0,16.97,2.34,0.0
20230403:0103,0.0,0.0,0.0,16.72,2.21,0.0
20230403:0203,0.0,0.0,0.0,16.62,2.07,0.0
20230403:0303,0.0,0.0,0.0,16.48,1.79,0.0
20230403:0403,0.0,0.0,0.0,16.02,1.59,0.0
20230403:0503,0.0,0.0,0.0,15.66,1.45,0.0
20230403:0603,0.0,0.0,0.0,15.34,1.52,0.0
20230403:0703,0.0,0.0,0.0,15.24,1.59,0.0
20230403:0803,0.0,0.0,0.0,14.71,1.66,0.0
20230403:0903,0.0,0.0,0.0,14.88,1.72,0.0
20230403:1003,1076.7,153.59,10.01,14.95,1.66,0.0
20230403:1103,3829.9,488.8,23.36,17.49,2.97,0.0
20230403:1203,5466.8,713.79,36.13,19.02,2.83,0.0
20230403:1303,6652.8,911.24,47.73,20.83,2.34,0.0
20230403:1403,7229.1,1041.71,56.87,22.35,1.52,0.0
20230403:1503,7271.7,1078.7,61.08,23.26,0.9,0.0
20230403:1603,4718.4,635.52,58.32,23.58,2.07,0.0
20230403:1703,6007.0,813.63,50.01,23.09,2.9,0.0
20230403:1803,5240.8,692.71,38.8,22.49,3.17,0.0
20230403:1903,3322.9,441.53,26.21,22.57,3.03,0.0
20230403:2003,851.4,130.72,12.96,21.62,3.17,0.0
20230403:2103,0.0,0.0,0.0,20.35,2.9,0.0
20230403:2203,0.0,0.0,0.0,19.17,2.21,0.0
20230403:2303,0.0,0.0,0.0,18.46,1.86,0.0
20230404:0003,0.0,0.0,0.0,17.81,1.52,0.0
20230404:0103,0.0,0.0,0.0,17.19,1.31,0.0
20230404:0203,0.0,0.0,0.0,16.63,1.1,0.0
20230404:0303,0.0,0.0,0.0,16.77,0.9,0.0
20230404:0403,0.0,0.0,0.0,16.26,0.97,0.0
20230404:0503,0.0,0.0,0.0,16.22,0.9,0.0
20230404:0603,0.0,0.0,0.0,16.2,0.9,0.0
20230404:0703,0.0,0.0,0.0,16.45,0.48,0.0
20230404:0803,0.0,0.0,0.0,16.29,0.41,0.0
20230404:0903,0.0,0.0,0.0,16.2,0.34,0.0
20230404:1003,181.2,35.59,9.92,16.46,0.48,0.0
20230404:1103,1121.6,153.48,23.24,17.31,0.55,0.0
20230404:1203,3645.7,476.73,35.98,18.91,0.55,0.0
20230404:1303,5660.8,790.12,47.52,21.55,0.41,0.0
20230404:1403,6470.6,937.23,56.57,23.59,0.69,0.0
20230404:1503,6529.4,933.66,60.7,24.79,1.59,0.0
20230404:1603,6124.3,862.69,57.94,25.53,1.86,0.0
20230404:1703,6283.9,884.76,49.67,25.91,1.93,0.0
20230404:1803,4677.7,630.03,38.51,25.54,2.28,0.0
20230404:1903,2954.5,397.99,25.96,25.37,2.62,0.0
20230404:2003,856.3,134.23,12.73,23.84,3.1,0.0
20230404:2103,0.0,0.0,0.0,21.91,3.03,0.0
20230404:2203,0.0,0.0,0.0,20.58,2.55,0.0
20230404:2303,0.0,0.0,0.0,19.94,2.07,0.0
20230405:0003,0.0,0.0,0.0,19.53,1.52,0.0
20230405:0103,0.0,0.0,0.0,19.3,1.1,0.0
20230405:0203,0.0,0.0,0.0,18.89,0.69,0.0
20230405:0303,0.0,0.0,0.0,18.84,0.55,0.0
20230405:0403,0.0,0.0,0.0,18.6,0.28,0.0
20230405:0503,0.0,0.0,0.0,18.24,0.41,0.0
20230405:0603,0.0,0.0,0.0,17.67,0.28,0.0
20230405:0703,0.0,0.0,0.0,16.23,0.21,0.0
20230405:0803,0.0,0.0,0.0,16.3,0.34,0.0
20230405:0903,0.0,0.0,0.0,16.13,0.34,0.0
20230405:1003,273.8,48.21,9.83,16.16,0.34,0.0
20230405:1103,2565.0,331.48,23.13,17.32,0.83,0.0
20230405:1203,3408.0,442.26,35.82,19.6,1.45,0.0
20230405:1303,4294.9,566.0,47.3,21.56,2.14,0.0
20230405:1403,5742.3,781.42,56.27,22.84,2.41,0.0
20230405:1503,6740.9,945.49,60.33,23.81,2.48,0.0
20230405:1603,6898.4,970.62,57.56,24.46,2.62,0.0
20230405:1703,6196.4,847.26,49.34,24.55,3.03,0.0
20230405:1803,4108.1,539.13,38.22,24.09,3.59,0.0
20230405:1903,2098.5,279.23,25.7,23.48,3.86,0.0
20230405:2003,162.7,33.67,12.49,22.14,3.79,0.0
20230405:2103,0.0,0.0,0.0,20.74,3.45,0.0
20230405:2203,0.0,0.0,0.0,19.66,2.55,0.0
20230405:2303,0.0,0.0,0.0,18.91,2.21,0.0
20230406:0003,0.0,0.0,0.0,18.63,1.93,0.0
20230406:0103,0.0,0.0,0.0,18.2,1.72,0.0
20230406:0203,0.0,0.0,0.0,17.99,1.45,0.0
20230406:0303,0.0,0.0,0.0,17.64,1.24,0.0
20230406:0403,0.0,0.0,0.0,17.42,1.1,0.0
20230406:0503,0.0,0.0,0.0,17.33,0.9,0.0
20230406:0603,0.0,0.0,0.0,17.23,0.69,0.0
20230406:0703,0.0,0.0,0.0,16.92,0.55,0.0
20230406:0803,0.0,0.0,0.0,16.6,0.69,0.0
20230406:0903,0.0,0.0,0.0,16.43,0.76,0.0
20230406:1003,968.8,140.63,9.73,16.58,0.97,0.0
20230406:1103,2795.7,359.98,23.01,17.8,1.45,0.0
20230406:1203,3780.0,489.37,35.67,19.84,2.0,0.0
20230406:1303,5250.5,695.75,47.09,21.45,2.76,0.0
20230406:1403,4482.1,591.38,55.97,22.58,3.03,0.0
20230406:1503,5646.9,761.04,59.95,23.28,3.17,0.0
20230406:1603,3530.6,464.83,57.18,23.72,3.17,0.0
20230406:1703,5076.8,674.83,49.01,23.78,3.38,0.0
20230406:1803,3059.2,399.63,37.93,23.46,3.52,0.0
20230406:1903,2229.9,294.82,25.45,22.18,3.52,0.0
20230406:2003,204.2,39.44,12.26,21.45,3.38,0.0
20230406:2103,0.0,0.0,0.0,20.24,2.9,0.0
20230406:2203,0.0,0.0,0.0,19.47,2.69,0.0
20230406:2303,0.0,0.0,0.0,18.9,2.28,0.0
20230407:0003,0.0,0.0,0.0,18.68,2.14,0.0
20230407:0103,0.0,0.0,0.0,18.46,2.21,0.0
20230407:0203,0.0,0.0,0.0,18.36,2.14,0.0
20230407:0303,0.0,0.0,0.0,18.05,1.86,0.0
20230407:0403,0.0,0.0,0.0,17.87,1.66,0.0
20230407:0503,0.0,0.0,0.0,17.84,1.59,0.0
20230407:0603,0.0,0.0,0.0,17.78,1.59,0.0
20230407:0703,0.0,0.0,0.0,17.94,1.66,0.0
20230407:0803,0.0,0.0,0.0,17.97,1.66,0.0
20230407:0903,0.0,0.0,0.0,17.89,1.45,0.0
20230407:1003,361.3,60.27,9.64,17.9,1.17,0.0
20230407:1103,1438.8,192.98,22.89,19.05,1.24,0.0
20230407:1203,621.4,93.3,35.51,20.1,1.24,0.0
20230407:1303,1307.7,178.91,46.87,20.66,0.69,0.0
20230407:1403,911.0,129.85,55.67,20.92,0.69,0.0
20230407:1503,642.4,96.19,59.58,20.45,0.55,0.0
20230407:1603,2464.3,324.24,56.8,20.94,1.52,0.0
20230407:1703,2545.2,333.36,48.68,20.63,1.72,0.0
20230407:1803,845.5,121.2,37.65,20.23,1.24,0.0
20230407:1903,1274.1,173.72,25.2,20.25,2.21,0.0
20230407:2003,35.4,13.47,12.03,19.69,2.07,0.0
20230407:2103,0.0,0.0,0.0,19.16,2.07,0.0
20230407:2203,0.0,0.0,0.0,18.83,1.79,0.0
20230407:2303,0.0,0.0,0.0,18.63,1.52,0.0
20230408:0003,0.0,0.0,0.0,18.42,1.45,0.0
20230408:0103,0.0,0.0,0.0,18.31,1.38,0.0
20230408:0203,0.0,0.0,0.0,18.26,1.45,0.0
20230408:0303,0.0,0.0,0.0,18.35,1.66,0.0
20230408:0403,0.0,0.0,0.0,18.38,1.66,0.0
20230408:0503,0.0,0.0,0.0,18.31,1.66,0.0
20230408:0603,0.0,0.0,0.0,18.27,2.0,0.0
20230408:0703,0.0,0.0,0.0,18.2,1.45,0.0
20230408:0803,0.0,0.0,0.0,17.94,1.31,0.0
20230408:0903,0.0,0.0,0.0,18.13,1.52,0.0
20230408:1003,228.4,42.32,9.54,18.53,2.07,0.0
20230408:1103,1311.8,176.81,22.77,18.95,2.34,0.0
20230408:1203,656.2,97.15,35.35,19.45,2.9,0.0
20230408:1303,2085.8,272.5,46.65,19.99,3.17,0.0
20230408:1403,1867.4,246.24,55.37,20.61,3.38,0.0
20230408:1503,1738.9,230.85,59.21,20.93,3.17,0.0
20230408:1603,2726.6,355.02,56.43,20.96,2.97,0.0
20230408:1703,1144.3,157.75,48.35,20.89,3.17,0.0
20230408:1803,1114.4,153.9,37.36,20.76,3.52,0.0
20230408:1903,290.7,50.98,24.94,20.35,3.03,0.0
20230408:2003,35.3,13.47,11.8,19.89,2.83,0.0
20230408:2103,0.0,0.0,0.0,18.95,2.07,0.0
20230408:2203,0.0,0.0,0.0,18.64,2.41,0.0
20230408:2303,0.0,0.0,0.0,18.41,2.9,0.0
20230409:0003,0.0,0.0,0.0,18.32,2.34,0.0
20230409:0103,0.0,0.0,0.0,18.23,2.28,0.0
20230409:0203,0.0,0.0,0.0,18.15,2.41,0.0
20230409:0303,0.0,0.0,0.0,18.05,2.83,0.0
20230409:0403,0.0,0.0,0.0,17.94,2.62,0.0
20230409:0503,0.0,0.0,0.0,17.84,2.62,0.0
20230409:0603,0.0,0.0,0.0,17.74,2.62,0.0
20230409:0703,0.0,0.0,0.0,17.45,2.41,0.0
20230409:0803,0.0,0.0,0.0,17.34,2.34,0.0
20230409:0903,0.0,0.0,0.0,17.36,2.55,0.0
20230409:1003,810.6,119.8,9.45,17.44,2.41,0.0
20230409:1103,2432.7,312.14,22.65,18.2,2.9,0.0
20230409:1203,4029.4,514.18,35.19,19.05,3.38,0.0
20230409:1303,3147.1,404.07,46.43,20.16,3.93,0.0
20230409:1403,4086.5,528.1,55.07,20.94,4.07,0.0
20230409:1503,3455.0,447.02,58.84,21.26,4.0,0.0
20230409:1603,3476.6,449.82,56.06,21.12,3.79,0.0
20230409:1703,1944.6,255.35,48.02,20.73,4.0,0.0
20230409:1803,1416.1,190.65,37.08,20.96,4.14,0.0
20230409:1903,638.7,95.23,24.69,20.3,3.79,0.0
20230409:2003,35.3,13.47,11.57,19.83,3.66,0.0
20230409:2103,0.0,0.0,0.0,19.04,3.17,0.0
20230409:2203,0.0,0.0,0.0,18.41,3.03,0.0
20230409:2303,0.0,0.0,0.0,17.77,2.83,0.0
20230410:0003,0.0,0.0,0.0,17.3,2.83,0.0
20230410:0103,0.0,0.0,0.0,17.02,2.69,0.0
20230410:0203,0.0,0.0,0.0,16.93,2.41,0.0
20230410:0303,0.0,0.0,0.0,16.77,2.34,0.0
20230410:0403,0.0,0.0,0.0,16.52,2.14,0.0
20230410:0503,0.0,0.0,0.0,16.31,2.0,0.0
20230410:0603,0.0,0.0,0.0,16.04,1.86,0.0
20230410:0703,0.0,0.0,0.0,15.94,1.86,0.0
20230410:0803,0.0,0.0,0.0,15.77,1.79,0.0
20230410:0903,0.0,0.0,0.0,15.52,1.79,0.0
20230410:1003,1335.6,188.69,9.35,15.69,1.66,0.0
20230410:1103,3670.2,468.32,22.53,17.16,2.48,0.0
20230410:1203,5469.3,712.05,35.03,18.67,2.83,0.0
20230410:1303,6695.5,901.95,46.21,20.12,3.03,0.0
20230410:1403,7356.0,1015.72,54.77,21.29,3.17,0.0
20230410:1503,7562.7,1055.59,58.47,22.16,3.24,0.0
20230410:1603,7341.7,1015.96,55.69,22.68,3.45,0.0
20230410:1703,6646.1,896.39,47.7,22.73,3.79,0.0
20230410:1803,5257.4,688.35,36.8,22.29,3.93,0.0
20230410:1903,3291.4,434.02,24.44,21.51,3.93,0.0
20230410:2003,957.9,160.34,11.34,20.32,3.59,0.0
20230410:2103,0.0,0.0,0.0,18.87,2.9,0.0
20230410:2203,0.0,0.0,0.0,17.7,2.55,0.0
20230410:2303,0.0,0.0,0.0,16.88,2.21,0.0
20230411:0003,0.0,0.0,0.0,16.24,1.93,0.0
20230411:0103,0.0,0.0,0.0,15.69,1.79,0.0
20230411:0203,0.0,0.0,0.0,15.06,1.66,0.0
20230411:0303,0.0,0.0,0.0,14.28,1.45,0.0
20230411:0403,0.0,0.0,0.0,14.0,1.24,0.0
20230411:0503,0.0,0.0,0.0,13.86,1.24,0.0
20230411:0603,0.0,0.0,0.0,13.72,1.03,0.0
20230411:0703,0.0,0.0,0.0,14.1,0.9,0.0
20230411:0803,0.0,0.0,0.0,13.48,0.9,0.0
20230411:0903,0.0,0.0,0.0,13.52,1.17,0.0
20230411:1003,758.5,111.22,9.26,13.95,1.31,0.0
20230411:1103,1336.6,176.73,22.41,14.67,1.79,0.0
20230411:1203,1983.0,257.41,34.87,16.99,1.59,0.0
20230411:1303,5702.2,766.84,45.99,19.31,1.59,0.0
20230411:1403,6903.6,980.2,54.47,21.27,1.38,0.0
20230411:1503,7052.6,1027.04,58.1,22.63,1.03,0.0
20230411:1603,6922.2,1001.9,55.32,23.44,1.17,0.0
20230411:1703,6331.6,886.43,47.37,23.87,1.66,0.0
20230411:1803,3877.0,513.53,36.52,23.65,2.0,0.0
20230411:1903,2722.1,364.6,24.2,23.46,2.21,0.0
20230411:2003,718.2,115.02,11.12,22.31,2.55,0.0
20230411:2103,0.0,0.0,0.0,20.75,2.28,0.0
20230411:2203,0.0,0.0,0.0,19.44,2.07,0.0
20230411:2303,0.0,0.0,0.0,18.92,1.86,0.0
20230412:0003,0.0,0.0,0.0,18.56,1.38,0.0
20230412:0103,0.0,0.0,0.0,18.41,1.1,0.0
20230412:0203,0.0,0.0,0.0,18.01,0.9,0.0
20230412:0303,0.0,0.0,0.0,17.8,0.76,0.0
20230412:0403,0.0,0.0,0.0,17.64,0.69,0.0
20230412:0503,0.0,0.0,0.0,17.4,0.83,0.0
20230412:0603,0.0,0.0,0.0,17.18,0.83,0.0
20230412:0703,0.0,0.0,0.0,17.31,1.03,0.0
20230412:0803,0.0,0.0,0.0,17.03,1.03,0.0
20230412:0903,0.0,0.0,0.0,16.97,1.03,0.0
20230412:1003,215.9,40.4,9.16,16.92,1.1,0.0
20230412:1103,2720.1,351.51,22.29,18.19,1.17,0.0
20230412:1203,5156.8,691.69,34.7,20.77,1.17,0.0
20230412:1303,6353.2,890.67,45.77,23.11,1.45,0.0
20230412:1403,6615.5,933.98,54.17,24.51,2.07,0.0
20230412:1503,4679.9,637.35,57.74,25.36,1.86,0.0
20230412:1603,4716.7,644.05,54.96,25.72,1.79,0.0
20230412:1703,5431.8,754.75,47.05,25.42,1.31,0.0
20230412:1803,3251.3,435.62,36.24,25.11,1.1,0.0
20230412:1903,1989.5,270.38,23.95,24.1,0.76,0.0
20230412:2003,786.9,130.02,10.89,22.89,1.52,0.0
20230412:2103,0.0,0.0,0.0,21.94,1.52,0.0
20230412:2203,0.0,0.0,0.0,21.04,1.17,0.0
20230412:2303,0.0,0.0,0.0,20.26,1.38,0.0
20230413:0003,0.0,0.0,0.0,19.81,1.45,0.0
20230413:0103,0.0,0.0,0.0,19.58,1.59,0.0
20230413:0203,0.0,0.0,0.0,19.0,1.45,0.0
20230413:0303,0.0,0.0,0.0,18.57,1.31,0.0
20230413:0403,0.0,0.0,0.0,18.33,1.31,0.0
20230413:0503,0.0,0.0,0.0,18.03,1.38,0.0
20230413:0603,0.0,0.0,0.0,17.63,1.45,0.0
20230413:0703,0.0,0.0,0.0,17.62,1.72,0.0
20230413:0803,0.0,0.0,0.0,17.74,1.79,0.0
20230413:0903,0.0,0.0,0.0,17.42,1.72,0.0
20230413:1003,425.8,68.95,9.06,17.63,1.59,0.0
20230413:1103,3610.9,472.44,22.16,20.87,1.66,0.0
20230413:1203,5354.8,712.65,34.54,22.69,2.62,0.0
20230413:1303,5972.7,809.37,45.55,24.23,3.17,0.0
20230413:1403,6394.1,882.77,53.87,25.38,3.24,0.0
20230413:1503,6819.8,959.51,57.38,26.29,3.1,0.0
20230413:1603,6179.2,860.16,54.6,26.79,2.9,0.0
20230413:1703,6111.0,853.05,46.73,27.04,2.41,0.0
20230413:1803,4132.5,556.65,35.96,25.81,1.66,0.0
20230413:1903,2246.3,307.13,23.71,25.89,0.97,0.0
20230413:2003,29.1,12.5,10.67,24.79,1.17,0.0
20230413:2103,0.0,0.0,0.0,23.39,1.59,0.0
20230413:2203,0.0,0.0,0.0,22.23,1.31,0.0
20230413:2303,0.0,0.0,0.0,21.42,0.9,0.0
20230414:0003,0.0,0.0,0.0,20.75,0.83,0.0
20230414:0103,0.0,0.0,0.0,20.02,0.97,0.0
20230414:0203,0.0,0.0,0.0,19.37,1.03,0.0
20230414:0303,0.0,0.0,0.0,19.49,0.9,0.0
20230414:0403,0.0,0.0,0.0,19.35,0.9,0.0
20230414:0503,0.0,0.0,0.0,19.14,0.83,0.0
20230414:0603,0.0,0.0,0.0,18.71,0.83,0.0
20230414:0703,0.0,0.0,0.0,18.72,1.03,0.0
20230414:0803,0.0,0.0,0.0,19.39,0.55,0.0
20230414:0903,0.0,0.0,0.0,19.46,0.21,0.0
20230414:1003,500.0,79.77,8.96,19.52,0.21,0.0
20230414:1103,744.9,109.34,22.04,21.28,0.62,0.0
20230414:1203,696.9,103.88,34.38,22.69,1.1,0.0
20230414:1303,1016.2,144.28,45.32,23.36,1.1,0.0
20230414:1403,5258.9,727.68,53.57,23.28,0.83,0.0
20230414:1503,4149.7,561.28,57.02,22.38,0.48,0.0
20230414:1603,5533.9,769.1,54.24,22.8,0.83,0.0
20230414:1703,1837.8,246.75,46.41,22.75,1.45,0.0
20230414:1803,919.0,131.78,35.69,23.04,1.52,0.0
20230414:1903,310.6,53.87,23.46,21.33,1.86,0.0
20230414:2003,25.1,11.54,10.45,20.64,1.72,0.0
20230414:2103,0.0,0.0,0.0,20.05,1.31,0.0
20230414:2203,0.0,0.0,0.0,19.83,1.1,0.0
20230414:2303,0.0,0.0,0.0,19.82,1.31,0.0
20230415:0003,0.0,0.0,0.0,19.57,1.31,0.0
20230415:0103,0.0,0.0,0.0,19.46,1.45,0.0
20230415:0203,0.0,0.0,0.0,19.51,1.72,0.0
20230415:0303,0.0,0.0,0.0,19.51,1.93,0.0
20230415:0403,0.0,0.0,0.0,19.46,2.07,0.0
20230415:0503,0.0,0.0,0.0,19.69,2.55,0.0
20230415:0603,0.0,0.0,0.0,19.81,3.1,0.0
20230415:0703,0.0,0.0,0.0,18.73,2.76,0.0
20230415:0803,0.0,0.0,0.0,18.45,2.83,0.0
20230415:0903,0.0,0.0,0.0,18.37,2.41,0.0
20230415:1003,200.5,38.48,8.87,18.34,2.41,0.0
20230415:1103,420.2,67.33,21.91,18.6,3.31,0.0
20230415:1203,1278.4,172.66,34.21,19.28,3.79,0.0
20230415:1303,2767.7,358.05,45.1,20.76,3.45,0.0
20230415:1403,1624.1,217.38,53.27,21.78,3.38,0.0
20230415:1503,3456.5,450.45,56.66,22.16,3.45,0.0
20230415:1603,5094.2,672.04,53.88,21.82,3.31,0.0
20230415:1703,2889.5,376.66,46.1,22.12,3.17,0.0
20230415:1803,1823.0,240.57,35.41,20.98,3.66,0.0
20230415:1903,2461.3,323.1,23.23,20.61,3.79,0.0
20230415:2003,63.0,18.28,10.24,19.81,3.1,0.0
20230415:2103,0.0,0.0,0.0,19.04,2.28,0.0
20230415:2203,0.0,0.0,0.0,18.53,2.34,0.0
20230415:2303,0.0,0.0,0.0,18.07,2.28,0.0
20230416:0003,0.0,0.0,0.0,17.73,2.07,0.0
20230416:0103,0.0,0.0,0.0,17.72,1.93,0.0
20230416:0203,0.0,0.0,0.0,17.83,1.86,0.0
20230416:0303,0.0,0.0,0.0,17.67,1.66,0.0
20230416:0403,0.0,0.0,0.0,17.51,1.52,0.0
20230416:0503,0.0,0.0,0.0,17.38,1.45,0.0
20230416:0603,0.0,0.0,0.0,17.46,1.45,0.0
20230416:0703,0.0,0.0,0.0,17.61,1.52,0.0
20230416:0803,0.0,0.0,0.0,17.58,1.38,0.0
20230416:0903,0.0,0.0,0.0,17.39,1.66,0.0
20230416:1003,1192.7,170.82,8.77,17.47,1.79,0.0
20230416:1103,3490.1,447.71,21.79,18.47,2.41,0.0
20230416:1203,4713.7,612.38,34.04,19.88,2.55,0.0
20230416:1303,6266.0,847.13,44.87,21.33,2.62,0.0
20230416:1403,6945.7,968.98,52.97,22.41,2.41,0.0
20230416:1503,7065.1,1000.36,56.3,23.34,2.21,0.0
20230416:1603,6603.0,932.0,53.53,23.87,1.79,0.0
20230416:1703,6167.6,862.78,45.78,24.23,1.52,0.0
20230416:1803,4659.6,624.48,35.14,23.85,1.79,0.0
20230416:1903,2903.7,393.08,22.99,23.6,1.52,0.0
20230416:2003,598.8,99.54,10.02,23.02,1.66,0.0
20230416:2103,0.0,0.0,0.0,21.73,1.86,0.0
20230416:2203,0.0,0.0,0.0,20.61,1.86,0.0
20230416:2303,0.0,0.0,0.0,19.92,1.86,0.0
20230417:0003,0.0,0.0,0.0,19.32,1.86,0.0
20230417:0103,0.0,0.0,0.0,19.16,1.66,0.0
20230417:0203,0.0,0.0,0.0,18.5,1.24,0.0
20230417:0303,0.0,0.0,0.0,17.71,1.24,0.0
20230417:0403,0.0,0.0,0.0,17.09,1.45,0.0
20230417:0503,0.0,0.0,0.0,16.74,1.66,0.0
20230417:0603,0.0,0.0,0.0,16.49,1.66,0.0
20230417:0703,0.0,0.0,0.0,16.71,1.52,0.0
20230417:0803,0.0,0.0,0.0,16.44,1.79,0.0
20230417:0903,0.0,0.0,0.0,16.54,2.0,0.0
20230417:1003,429.2,69.41,8.67,17.14,2.14,0.0
20230417:1103,3426.1,444.18,21.66,20.79,2.48,0.0
20230417:1203,5336.5,699.33,33.87,22.98,4.07,0.0
20230417:1303,5328.0,699.99,44.65,24.61,5.31,0.0
20230417:1403,6992.5,943.81,52.68,25.59,5.93,0.0
20230417:1503,7178.2,975.11,55.95,26.5,6.21,0.0
20230417:1603,5867.3,783.21,53.18,26.79,6.0,0.0
20230417:1703,1804.4,243.89,45.47,26.77,5.38,0.0
20230417:1803,3792.4,499.61,34.88,26.26,4.14,0.0
20230417:1903,304.3,53.87,22.75,25.55,3.66,0.0
20230417:2003,29.3,12.5,9.81,24.26,3.24,0.0
20230417:2103,0.0,0.0,0.0,23.24,3.03,0.0
20230417:2203,0.0,0.0,0.0,22.39,3.1,0.0
20230417:2303,0.0,0.0,0.0,21.95,3.31,0.0
20230418:0003,0.0,0.0,0.0,21.71,3.52,0.0
20230418:0103,0.0,0.0,0.0,21.46,3.59,0.0
20230418:0203,0.0,0.0,0.0,21.34,3.45,0.0
20230418:0303,0.0,0.0,0.0,21.11,3.31,0.0
20230418:0403,0.0,0.0,0.0,20.19,3.1,0.0
20230418:0503,0.0,0.0,0.0,20.15,3.66,0.0
20230418:0603,0.0,0.0,0.0,20.59,4.48,0.0
20230418:0703,0.0,0.0,0.0,20.12,4.28,0.0
20230418:0803,0.0,0.0,0.0,19.97,4.28,0.0
20230418:0903,0.0,0.0,0.0,19.74,4.62,0.0
20230418:1003,989.7,144.61,8.57,19.9,4.97,0.0
20230418:1103,262.1,47.13,21.53,20.48,5.45,0.0
20230418:1203,275.8,49.06,33.71,21.05,6.21,0.0
20230418:1303,706.0,103.88,44.42,21.77,6.97,0.0
20230418:1403,5378.0,699.71,52.38,22.93,5.86,0.0
20230418:1503,3767.1,491.11,55.6,23.82,4.76,0.0
20230418:1603,2876.5,377.57,52.83,24.83,4.76,0.0
20230418:1703,3178.3,416.0,45.17,25.37,5.03,0.0
20230418:1803,649.6,98.11,34.61,24.22,4.41,0.0
20230418:1903,265.4,48.09,22.52,23.07,4.07,0.0
20230418:2003,20.1,10.58,9.6,21.92,4.62,0.0
20230418:2103,0.0,0.0,0.0,21.57,5.31,0.0
20230418:2203,0.0,0.0,0.0,21.15,6.28,0.0
20230418:2303,0.0,0.0,0.0,20.88,5.93,0.0
20230419:0003,0.0,0.0,0.0,20.49,4.14,0.0
20230419:0103,0.0,0.0,0.0,20.15,2.28,0.0
20230419:0203,0.0,0.0,0.0,19.77,2.0,0.0
20230419:0303,0.0,0.0,0.0,19.35,1.59,0.0
20230419:0403,0.0,0.0,0.0,18.9,2.28,0.0
20230419:0503,0.0,0.0,0.0,18.47,2.0,0.0
20230419:0603,0.0,0.0,0.0,18.37,1.38,0.0
20230419:0703,0.0,0.0,0.0,19.12,2.28,0.0
20230419:0803,0.0,0.0,0.0,18.78,2.07,0.0
20230419:0903,0.0,0.0,0.0,18.48,2.14,0.0
20230419:1003,1399.9,199.19,8.46,18.43,2.07,0.0
20230419:1103,3700.4,475.13,21.4,18.98,2.76,0.0
